domain,matched_domain,match_type,tranco_rank,reach_score,reach_percentile,reach_tier,mentions,unique_outlets,top_outlet,top_outlet_mentions,first_mention_date,last_mention_date,tranco_list_id,tranco_list_created_on,generated_at_utc
bilbao24horas.com,,unmatched,0,0.0,0.0,unranked,1,1,Bilbao24horas,1,2022-12-04T08:03:51,2022-12-04T08:03:51,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
cambiopolitico.com,,unmatched,0,0.0,0.0,unranked,1,1,Cambio Político,1,2022-12-01T22:11:33,2022-12-01T22:11:33,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
chitchatpost.com,,unmatched,0,0.0,0.0,unranked,1,1,ChitChat Post Espana,1,2024-08-14T01:05:52,2024-08-14T01:05:52,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
dclm.es,,unmatched,0,0.0,0.0,unranked,1,1,dclm,1,2022-12-04T12:11:46,2022-12-04T12:11:46,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
elportaluco.com,,unmatched,0,0.0,0.0,unranked,1,1,El Portaluco,1,2022-12-04T05:41:01,2022-12-04T05:41:01,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
free-mail.co.za,,unmatched,0,0.0,0.0,unranked,1,1,Free Mail South Africa,1,2023-12-20T01:00:19,2023-12-20T01:00:19,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
longroom.com,,unmatched,0,0.0,0.0,unranked,1,1,Long Room,1,2018-05-24T19:15:53,2018-05-24T19:15:53,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
madriddigital24horas.com,,unmatched,0,0.0,0.0,unranked,1,1,Madriddigital24horas,1,2022-12-04T11:09:48,2022-12-04T11:09:48,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
mandarinian.news,,unmatched,0,0.0,0.0,unranked,1,1,Mandarinian,1,2025-05-10T22:13:28,2025-05-10T22:13:28,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
newslanes.com,,unmatched,0,0.0,0.0,unranked,1,1,Newslanes,1,2022-11-25T06:24:20,2022-11-25T06:24:20,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
nipponese.news,,unmatched,0,0.0,0.0,unranked,1,1,Nipponese.news,1,2024-08-18T10:03:01,2024-08-18T10:03:01,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
noticiasdelatierra.com,,unmatched,0,0.0,0.0,unranked,1,1,Noticias de la tierra,1,2024-04-08T15:39:30,2024-04-08T15:39:30,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
presseraum.at,,unmatched,0,0.0,0.0,unranked,1,1,Presseraum,1,2022-11-25T13:18:01,2022-11-25T13:18:01,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
swifttelecast.com,,unmatched,0,0.0,0.0,unranked,1,1,Swift Telecast,1,2022-11-26T17:13:24,2022-11-26T17:13:24,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
technologytimes.pk,,unmatched,0,0.0,0.0,unranked,1,1,Technology Times,1,2021-10-12T19:06:21,2021-10-12T19:06:21,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
todayuknews.com,,unmatched,0,0.0,0.0,unranked,1,1,Today UK News,1,2022-11-26T22:24:01,2022-11-26T22:24:01,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
trueviralnews.com,,unmatched,0,0.0,0.0,unranked,1,1,True Viral News,1,2021-10-11T18:38:02,2021-10-11T18:38:02,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
uktimenews.com,,unmatched,0,0.0,0.0,unranked,1,1,UK Time News,1,2022-11-25T05:02:03,2022-11-25T05:02:03,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
w2.technobahn.com,,unmatched,0,0.0,0.0,unranked,1,1,Technobahn,1,2015-02-12T17:11:00,2015-02-12T17:11:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
