mention_id,mention_date,period_key,snapshot_target_date,snapshot_resolved_date,snapshot_offset_days,mention_to_snapshot_days,snapshot_resolution,tranco_list_id,tranco_list_created_on,domain,matched_domain,match_type,tranco_rank_at_date,reach_score_at_date,reach_percentile_at_date,reach_tier_at_date,outlet,country,canonical_publication_id,canonical_publication_title,mention_title,mention_url
2026-02-16_mentions_10.1038_nature15697__749,2015-10-07T17:00:00,2015-Q4,2015-11-15,,,,unresolved,,,trust.org,,unmatched,0,0.0,0.0,unranked,Thomson Reuters Foundation,United Kingdom,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family tree,http://www.trust.org/item/20151007170217-d90ja/
2026-02-16_mentions_10.1038_nature15697__747,2015-10-07T17:00:01,2015-Q4,2015-11-15,,,,unresolved,,,philly.com,,unmatched,0,0.0,0.0,unranked,Philly.com,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family tree,http://www.philly.com/philly/wires/reuters/news/report/20151007_Reuters_L1N1262Q8_Ruffling_the_feathers__scientists_formulate_bird_family_tree.html
2026-02-16_mentions_10.1038_nature15697__746,2015-10-07T17:00:02,2015-Q4,2015-11-15,,,,unresolved,,,agenciasinc.es,,unmatched,0,0.0,0.0,unranked,Agencia SINC,Spain,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,El árbol genealógico de las aves arroja luz sobre su evolución,http://www.agenciasinc.es/Noticias/El-arbol-genealogico-de-las-aves-arroja-luz-sobre-su-evolucion
2026-02-16_mentions_10.1038_nature15697__744,2015-10-07T17:10:59,2015-Q4,2015-11-15,,,,unresolved,,,news.yahoo.com,,unmatched,0,0.0,0.0,unranked,Yahoo! News,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family tree,http://news.yahoo.com/ruffling-feathers-scientists-formulate-bird-family-tree-171059324.html
2026-02-16_mentions_10.1038_nature15697__745,2015-10-07T17:10:59,2015-Q4,2015-11-15,,,,unresolved,,,businessinsider.com,,unmatched,0,0.0,0.0,unranked,Business Insider,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family tree,http://www.businessinsider.com/r-ruffling-the-feathers-scientists-formulate-bird-family-tree-2015-10
2026-02-16_mentions_10.1038_nature15697__731,2015-10-07T17:59:30,2015-Q4,2015-11-15,,,,unresolved,,,in.news.yahoo.com,,unmatched,0,0.0,0.0,unranked,Yahoo! News India,India,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family tree,https://in.news.yahoo.com/ruffling-feathers-scientists-formulate-bird-family-tree-174046703.html
2026-02-16_mentions_10.1038_nature15697__712,2015-10-07T19:15:56,2015-Q4,2015-11-15,,,,unresolved,,,firstpost.com,,unmatched,0,0.0,0.0,unranked,Firstpost,India,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Ruffling the feathers: scientists formulate bird family ...,http://www.firstpost.com/world/ruffling-the-feathers-scientists-formulate-bird-family-tree-reuters-2459576.html
2026-02-16_mentions_10.1038_nature15697__688,2015-10-07T22:22:09,2015-Q4,2015-11-15,,,,unresolved,,,voanews.com,,unmatched,0,0.0,0.0,unranked,Voice of America,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Scientists Unveil Comprehensive Bird Family Tree,http://www.voanews.com/content/scientists-unveil-comprehensive-bird-family-tree/2995915.html
2026-02-16_mentions_10.1038_nature15697__550,2015-10-08T14:30:01,2015-Q4,2015-11-15,,,,unresolved,,,phys.org,,unmatched,0,0.0,0.0,unranked,Phys.org,United Kingdom,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Group builds most comprehensive family tree of birds to date,http://phys.org/news/2015-10-group-comprehensive-family-tree-birds.html
2026-02-16_mentions_10.1038_nature15697__544,2015-10-08T15:42:52,2015-Q4,2015-11-15,,,,unresolved,,,futurity.org,,unmatched,0,0.0,0.0,unranked,Futurity,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,'Tree of life' links birds to 3 dinosaur lineages - Futurity,http://www.futurity.org/birds-evolution-1021292/
2026-02-16_mentions_10.1038_nature15697__540,2015-10-08T16:23:15,2015-Q4,2015-11-15,,,,unresolved,,,arstechnica.com,,unmatched,0,0.0,0.0,unranked,Arstechnica,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,New study rearranges family tree of birds,http://arstechnica.com/science/2015/10/new-study-rearranges-family-tree-of-birds/?alm_mvr=0
2026-02-16_mentions_10.1038_nature15697__515,2015-10-09T10:06:28,2015-Q4,2015-11-15,,,,unresolved,,,techtimes.com,,unmatched,0,0.0,0.0,unranked,Tech Times,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Researchers Say Comprehensive Bird Family Tree Nearly Complete,http://www.techtimes.com/articles/93052/20151009/researchers-say-comprehensive-bird-family-tree-nearly-complete.htm
2026-02-16_mentions_10.1038_nature15697__484,2015-10-12T04:00:00,2015-Q4,2015-11-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,From hummingbird to owl: New research decodes bird family tree,http://www.eurekalert.org/pub_releases/2015-10/fsu-fht101215.php
2026-02-16_mentions_10.1038_nature15697__477,2015-10-12T20:05:00,2015-Q4,2015-11-15,,,,unresolved,,,newswise.com,,unmatched,0,0.0,0.0,unranked,Newswise,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,New Research Decodes Bird Family Tree,http://www.newswise.com/articles/view/641257/?sc=rsla
2026-02-16_mentions_10.1038_nature15697__476,2015-10-12T22:10:33,2015-Q4,2015-11-15,,,,unresolved,,,sciencedaily.com,,unmatched,0,0.0,0.0,unranked,Science Daily,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,From hummingbird to owl: New research decodes bird family tree,http://www.sciencedaily.com/releases/2015/10/151012181033.htm
2026-02-16_mentions_10.1038_nature15697__470,2015-10-13T10:33:00,2015-Q4,2015-11-15,,,,unresolved,,,hirado.hu,,unmatched,0,0.0,0.0,unranked,Hirado,Hungary,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,Már majdnem teljes a madárcsaládfa,http://www.hirado.hu/2015/10/13/mar-majdnem-teljes-a-madarcsaladfa/
2026-02-16_mentions_10.1038_nature15697__464,2015-10-13T16:50:00,2015-Q4,2015-11-15,,,,unresolved,,,sciencenewsline.com,,unmatched,0,0.0,0.0,unranked,Science Newsline,Japan,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,From Hummingbird to Owl: New Research Decodes Bird Family Tree,http://www.sciencenewsline.com/news/2015101316500017.html
2026-02-16_mentions_10.1038_nature15697__461,2015-10-13T19:40:08,2015-Q4,2015-11-15,,,,unresolved,,,scienceworldreport.com,,unmatched,0,0.0,0.0,unranked,Science World Report,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,The Bird Family Tree: New Research Reveals How Birds Evolved After Dinosaurs,http://www.scienceworldreport.com/articles/31201/20151013/bird-family-tree-new-research-reveals-birds-evolved-dinosaurs.htm
2026-02-16_mentions_10.1038_nature15697__457,2015-10-14T01:10:13,2015-Q4,2015-11-15,,,,unresolved,,,feedproxy.google.com,,unmatched,0,0.0,0.0,unranked,Technology.org,United States,pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,From hummingbird to owl: New research decodes bird family tree - Technology Org,http://feedproxy.google.com/~r/TechnologyOrg/~3/fgdEWB7MTHs/
2026-02-16_mentions_10.1093_sysbio.syx064__89,2017-09-21T04:00:00,2017-Q3,2017-08-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing asteroid's impact on bird evolution,https://www.eurekalert.org/pub_releases/2017-09/cu-dai092117.php
2026-02-16_mentions_10.1093_sysbio.syx064__88,2017-09-21T07:00:06,2017-Q3,2017-08-15,,,,unresolved,,,myscience.org,,unmatched,0,0.0,0.0,unranked,My Science,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing asteroid sped up bird evolution,https://www.myscience.org/wire/dino_killing_asteroid_sped_up_bird_evolution-2017-Bath
2026-02-16_mentions_10.1093_sysbio.syx064__84,2017-09-21T11:32:18,2017-Q3,2017-08-15,,,,unresolved,,,phys.org,,unmatched,0,0.0,0.0,unranked,Phys.org,United Kingdom,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Dino-killing asteroid sped up bird evolution,https://phys.org/news/2017-09-dino-killing-asteroid-sped-bird-evolution.html
2026-02-16_mentions_10.1093_sysbio.syx064__82,2017-09-21T16:09:02,2017-Q3,2017-08-15,,,,unresolved,,,news.cornell.edu,,unmatched,0,0.0,0.0,unranked,Cornell Chronicle,United States,pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,Asteroid that killed dinosaurs may have sped up bird evolution,http://news.cornell.edu/stories/2017/09/asteroid-killed-dinosaurs-may-have-sped-bird-evolution
