Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","74656311","","",1832207691613401107,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","3199719656","","",1832206346965676110,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","146887296","","",1832203921785549117,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","2860257546","","",1832203842542563444,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1419781116","","",1832202522939081098,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1170936287483723777","","",1832196261405192224,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1827920801800273920","","",1832176953383907517,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
Video,2024-08-27 22:00:14,,"Important Details Emerge About The Origin of Dinosaur Killing Asteroid",,"",https://www.youtube.com/watch?v=9A_jOMVFTpw,,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","719199288010678272","","",1826856926954524998,"",Neutral positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
Podcast episode,2024-08-20 17:28:22,"Crazy Nauka","78. Nauka na czasie: dlaczego zala?o Warszaw? i wygin??y dinozaury, ale nie ptaki?",,"",https://www.spreaker.com/show/5645501/episodes/feed#episode-https://api.spreaker.com/episode/61094563,,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
