Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2022-04-16 12:49:37,,"Tesourinha-da-mata",,"",http://pt.wikipedia.org/?diff=prev&oldid=63403073#altmetric_citation_4c962a0f-4e11-4ba9-b2d8-b719b9e3feea,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-12-07 11:55:21,,"Berryeater",,"",http://en.wikipedia.org/?diff=prev&oldid=1059093977#altmetric_citation_44586163-9008-49a4-9eef-c11038e249c4,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-12-07 11:20:36,,"Snowornis",,"",http://en.wikipedia.org/?diff=prev&oldid=1059090645#altmetric_citation_a7884c51-f49c-4e3e-98db-98e0f875b7e0,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-12-07 09:55:37,,"Grey-winged cotinga",,"",http://en.wikipedia.org/?diff=prev&oldid=1059082621#altmetric_citation_cc7f964c-50cc-4791-8d2d-5b71d38b4c7d,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-12-07 09:54:08,,"Black-and-gold cotinga",,"",http://en.wikipedia.org/?diff=prev&oldid=1059082487#altmetric_citation_1365200a-f310-479b-bcd8-f055b896a078,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-09-21 11:55:28,,"Cotingidae",,"",http://tr.wikipedia.org/?diff=prev&oldid=26217548#altmetric_citation_0,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-07-22 19:10:01,,"Dzwonnik bia?y",,"",http://pl.wikipedia.org/?diff=prev&oldid=64140612#altmetric_citation_5,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-06-11 19:06:17,,"Lipaugus conditus",,"",http://pt.wikipedia.org/?diff=prev&oldid=61368824#altmetric_citation_2,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-04-12 07:54:26,,"Apolo cotinga",,"",http://en.wikipedia.org/?diff=prev&oldid=1017346502#altmetric_citation_218bfc4f-42d1-4fd2-ad72-b9b0c214de3e,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2021-03-02 03:15:40,,"Swallow-tailed cotinga",,"",http://en.wikipedia.org/?diff=prev&oldid=1009749963#altmetric_citation_923230fd-9d6d-454c-8e7c-0630ec8512bd,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
