Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2023-08-05 08:52:33,,"?????",,"",http://ja.wikipedia.org/?diff=prev&oldid=96281977#altmetric_citation_935f18bf-ab33-4c4a-b250-78c1efe727d7,,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
Wikipedia page,2022-05-25 09:14:24,,"Pitovití",,"",http://cs.wikipedia.org/?diff=prev&oldid=21323397#altmetric_citation_daef2ea2-912e-49c3-a8d6-b251aa950818,,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
Wikipedia page,2021-10-13 09:37:01,,"Paleognathae",,"",http://pt.wikipedia.org/?diff=prev&oldid=62230416#altmetric_citation_2673033f-8d79-4e7b-bbee-170264be20c7,,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
X Post,"","1252803890933874688","","",1254144470049849345,"",Positive,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
Wikipedia page,2019-01-03 04:02:51,,"Pitta",,"",http://en.wikipedia.org/?diff=prev&oldid=876573372#altmetric_citation_a04351bd-5166-4451-90a1-ce19f1823484,,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
News story,2018-04-20 15:05:28,"Smithsonian Magazine","What We Can Learn From a New Bird Tree of Life",United States,"",https://www.smithsonianmag.com/science-nature/what-we-can-learn-new-bird-tree-life-180968849/,,"A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing","Nature",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","Yale University",2016-07-28,13,https://www.altmetric.com/details/38446000,10.1038/nature19417,,,,,,"",,,,,,"Scientific American; Springer Nature"
