Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","17327847","","",763128455244361728,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",763125251735642114,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",720017422619582465,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2016-04-08 13:53:48,,"Bahamasternkolibri",,"",http://de.wikipedia.org/?diff=prev&oldid=153289811#altmetric_citation_1,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","405543136","","",575002646496546816,"",Positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Blog post,2015-02-19 09:57:00,"Species New to Science","[Ornithology • 2015] Divergence in Morphology, Calls, Song, Mechanical Sounds, and Genetics supports Species Status for the Inaguan Hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)",,"",http://novataxa.blogspot.com/2015/02/calliphlox-lyrura.html,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-18 15:43:18,"Sci-News","Inaguan Lyretail: Scientists Unveil New Species of Hummingbird",United States,"",http://www.sci-news.com/biology/science-inaguan-lyretail-new-species-hummingbird-02510.html,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-13 13:24:39,"Technology.org","A new species of hummingbird?",United States,"",http://www.technology.org/2015/02/13/new-species-hummingbird/,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","80388644","","",566154317485572096,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
News story,2015-02-12 17:23:48,"Science Daily","A new species of hummingbird?",United States,"",http://www.sciencedaily.com/releases/2015/02/150212122348.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
